Id,dominant_topic,topic_prob
111934,2,0.2750001757851305
111945,3,0.5250000586634362
111954,9,0.49762115018921965
111983,9,0.699995127597813
112263,2,0.36666669043068195
112483,6,0.2750000201608765
112532,5,0.5249875908791887
112564,5,0.27500016587221027
112698,3,0.2750000733530078
112768,9,0.5499817756225399
112970,8,0.5249667571560828
113007,0,0.6999999999989949
113170,0,0.2750001150176249
113185,8,0.27500001575568633
113341,9,0.49653330888476466
113534,2,0.7749999999862901
113655,2,0.5249999903448201
114112,7,0.7749791934038437
114214,6,0.3666667471219654
114283,7,0.3666667187838939
114597,4,0.27500025083187446
114830,7,0.5250000384769367
115316,2,0.36666666681984306
115744,4,0.27499990387362055
115764,9,0.5249999991288259
115773,9,0.699995127597813
115866,4,0.549999999997416
115974,3,0.5499999999983697
115977,8,0.5249668749739178
116139,8,0.3666666750184088
116494,2,0.36666667345660425
116657,2,0.2750000409602118
116894,0,0.27500024204928586
117014,5,0.4199346807507705
117127,1,0.5249957442457146
117167,7,0.5249980901123209
117211,0,0.36666664530590415
117250,9,0.5249832447186434
117477,6,0.2750000498675055
117514,0,0.36666668088712934
117732,0,0.5249800220314079
117986,5,0.3666666848334627
118096,1,0.5249997609132767
118138,9,0.36666667413417925
118143,0,0.5250000055500899
118221,3,0.4051863098637377
118260,9,0.49146457310721137
118370,5,0.2750006871574329
118458,5,0.5499999998741275
118467,3,0.27500005026399604
118516,5,0.4134012500288323
118540,9,0.5499919048829907
118591,5,0.36666647889557225
118643,8,0.5250000177659895
118654,4,0.5249637996470035
118813,2,0.36666667900636873
119167,0,0.5250000024151402
119198,5,0.7749854071099901
119404,8,0.5249668031780146
119562,8,0.4066796750253285
119651,0,0.3666666771337922
119684,7,0.5250000054338053
119802,2,0.5249768907177644
119941,9,0.5249999997649766
120061,4,0.7749857752203344
120250,7,0.5499999999926768
120584,8,0.5250000746265975
120656,8,0.27500006442762104
120657,1,0.49682527160944523
120926,8,0.6999556656747415
120951,8,0.3666666707822079
121396,3,0.2750000125952566
121439,9,0.3666612976399137
122033,4,0.6999924316369845
122277,5,0.5499999999563588
122327,4,0.6999999999533746
122524,0,0.5249999988288745
122763,3,0.275000003461256
123198,0,0.1
123499,9,0.5249984382475953
123958,9,0.5250000096451484
124108,9,0.5499651598600136
124171,6,0.5499999999704213
124692,9,0.5249921114904397
125034,2,0.5249999976014211
125102,1,0.5249751717833123
125222,0,0.5250000059475876
125703,8,0.6999556657414999
126131,4,0.6999999999804966
126356,8,0.5249667498409248
126364,9,0.4753951406561514
126524,8,0.3666667164289833
126738,9,0.6999999999719205
126787,6,0.5249738873340972
127055,3,0.2750001014103099
127454,4,0.3666667269217155
127606,8,0.4007851703301195
127736,0,0.27500017190024334
127803,3,0.2750000497860104
128259,2,0.5249769199445846
128466,4,0.6999999999608965
128478,4,0.3666666847858582
128573,9,0.5249923944388081
